,Player,Salary
0,,"$48,070,014"
1,,"$47,345,760"
2,,"$47,063,478"
3,,"$44,474,988"
4,,"$44,119,845"
5,,"$43,279,250"
6,,"$42,492,492"
7,,"$42,492,492"
8,,"$42,492,492"
9,,"$42,492,492"
10,,"$40,600,080"
11,,"$38,172,414"
12,,"$37,984,276"
13,,"$37,980,720"
14,,"$37,653,300"
15,,"$37,633,050"
16,,"$37,281,261"
17,,"$37,096,500"
18,,"$37,096,500"
19,,"$37,096,500"
20,,"$36,934,550"
21,,"$35,448,672"
22,,"$35,448,672"
23,,"$35,096,500"
24,,"$33,833,400"
25,,"$33,833,400"
26,,"$33,833,400"
27,,"$33,665,040"
28,,"$33,616,770"
29,,"$33,616,770"
30,,"$33,333,333"
31,,"$33,047,803"
32,,"$33,000,000"
33,,"$31,650,600"
34,,"$31,650,600"
35,,"$31,377,750"
36,,"$30,913,750"
37,,"$30,913,750"
38,,"$30,913,750"
39,,"$30,913,750"
40,,"$30,351,780"
41,,"$30,351,780"
42,,"$30,351,780"
43,,"$30,075,000"
44,,"$28,946,605"
45,,"$28,942,830"
46,,"$28,741,071"
47,,"$28,400,000"
48,,"$28,333,334"
49,,"$27,733,332"
50,,"$27,300,000"
51,,"$26,500,000"
52,,"$25,806,468"
53,,"$23,760,000"
54,,"$23,500,000"
55,,"$22,680,000"
56,,"$22,600,000"
57,,"$22,321,429"
58,,"$22,000,000"
59,,"$21,486,316"
60,,"$21,250,000"
61,,"$21,177,750"
62,,"$20,955,000"
63,,"$20,171,427"
64,,"$20,100,000"
65,,"$20,000,000"
66,,"$19,700,319"
67,,"$19,690,909"
68,,"$19,602,273"
69,,"$19,568,360"
70,,"$19,550,000"
71,,"$19,534,884"
72,,"$19,479,000"
73,,"$18,796,296"
74,,"$18,706,896"
75,,"$18,642,857"
76,,"$18,500,000"
77,,"$18,352,273"
78,,"$18,000,000"
79,,"$18,000,000"
80,,"$17,926,829"
81,,"$17,505,000"
82,,"$17,400,000"
83,,"$17,357,143"
84,,"$17,207,142"
85,,"$17,045,454"
86,,"$16,902,000"
87,,"$16,892,857"
88,,"$16,758,621"
89,,"$16,571,120"
90,,"$16,500,000"
91,,"$16,500,000"
92,,"$16,475,454"
93,,"$16,372,093"
94,,"$16,000,000"
95,,"$15,625,000"
96,,"$15,558,035"
97,,"$15,277,778"
98,,"$15,000,000"
99,,"$14,700,000"
100,,"$14,520,730"
101,,"$14,508,929"
102,,"$14,375,000"
103,,"$14,317,459"
104,,"$14,150,000"
105,,"$14,004,703"
106,,"$13,906,976"
107,,"$13,750,000"
